age,job,marital,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,y
37,services,married,1,no,no,15,395,2,-1,0,unknown,no
29,student,single,1779,no,no,4,400,1,-1,0,unknown,yes
33,self-employed,married,666,yes,no,16,297,1,-1,0,unknown,no
25,technician,single,2206,yes,no,15,114,1,-1,0,unknown,no
42,blue-collar,married,1673,yes,no,17,636,3,-1,0,unknown,yes
37,entrepreneur,married,46,no,yes,19,119,4,-1,0,unknown,no
39,blue-collar,married,661,yes,no,3,84,4,267,4,failure,no
28,management,single,3285,yes,no,9,98,1,-1,0,unknown,no
51,blue-collar,married,505,no,yes,7,130,1,-1,0,unknown,no
42,services,married,9277,yes,no,15,395,1,361,3,other,no
41,technician,married,77,yes,no,7,56,1,-1,0,unknown,no
38,management,divorced,4207,no,no,5,355,1,-1,0,unknown,no
31,technician,single,244,no,no,25,170,4,-1,0,unknown,no
59,housemaid,divorced,0,no,yes,25,1368,2,-1,0,unknown,no
33,management,single,755,yes,no,28,68,12,-1,0,unknown,no
23,blue-collar,single,537,yes,no,7,172,1,353,2,other,no
50,management,married,0,no,no,17,117,3,-1,0,unknown,no
33,student,divorced,422,no,no,6,406,3,-1,0,unknown,no
34,technician,married,883,no,no,3,166,2,173,3,failure,no
23,admin.,married,299,yes,no,19,104,1,-1,0,unknown,no
49,technician,married,4667,yes,no,19,130,2,-1,0,unknown,no
31,technician,single,90,no,yes,4,35,1,-1,0,unknown,no
35,services,married,-197,yes,no,26,103,1,-1,0,unknown,no
52,entrepreneur,married,592,no,no,21,122,2,-1,0,unknown,no
27,blue-collar,single,-289,yes,yes,5,94,5,-1,0,unknown,no
37,services,single,54,yes,no,10,118,1,-1,0,unknown,no
32,blue-collar,single,799,no,yes,23,2078,6,-1,0,unknown,yes
35,admin.,divorced,437,yes,no,4,908,1,-1,0,unknown,yes
35,unemployed,married,978,no,no,29,660,2,182,6,success,yes
55,blue-collar,married,644,no,no,21,42,3,-1,0,unknown,no
52,technician,married,2709,yes,no,9,48,7,-1,0,unknown,no
52,management,married,1708,no,no,6,310,1,75,4,failure,yes
36,management,single,854,yes,yes,15,503,6,-1,0,unknown,no
28,services,single,0,no,no,28,452,1,-1,0,unknown,no
56,blue-collar,divorced,9898,yes,no,21,147,3,-1,0,unknown,no
38,services,single,570,yes,no,5,75,2,-1,0,unknown,no
31,management,married,197,yes,no,2,105,1,-1,0,unknown,no
56,retired,divorced,4,yes,no,6,31,3,-1,0,unknown,no
36,blue-collar,married,679,yes,yes,13,115,1,-1,0,unknown,no
29,admin.,married,93,yes,yes,11,161,4,-1,0,unknown,no
32,blue-collar,married,944,no,no,13,231,2,362,1,other,no
44,services,married,0,no,no,31,160,5,-1,0,unknown,no
58,retired,married,1230,no,no,20,420,1,87,1,failure,yes
37,blue-collar,single,147,no,no,28,192,19,-1,0,unknown,no
32,technician,single,3818,no,no,18,100,4,-1,0,unknown,no
38,technician,single,31,yes,no,11,891,2,-1,0,unknown,no
54,admin.,divorced,912,yes,no,19,258,1,-1,0,unknown,no
44,admin.,married,1588,yes,no,3,84,15,-1,0,unknown,no
43,admin.,single,91,no,yes,1,110,2,-1,0,unknown,no
38,services,married,823,yes,no,3,132,5,-1,0,unknown,no
49,retired,divorced,-268,yes,no,6,42,2,206,5,failure,no
33,management,married,1,yes,yes,21,551,8,-1,0,unknown,no
43,admin.,married,372,yes,no,27,162,1,-1,0,unknown,no
48,management,single,5689,no,no,12,262,1,-1,0,unknown,yes
38,technician,married,238,no,no,30,376,8,-1,0,unknown,no
43,management,married,1253,no,yes,18,52,3,-1,0,unknown,no
35,management,married,2316,no,no,20,8,3,-1,0,unknown,no
