age,job,marital,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,y
35,technician,single,172,yes,yes,18,52,1,-1,0,unknown,0
33,admin.,married,2711,no,no,20,184,1,104,1,failure,0
33,admin.,single,745,yes,no,17,278,2,333,1,other,0
37,admin.,divorced,34,yes,no,9,144,3,-1,0,unknown,0
35,technician,married,1057,yes,no,21,144,2,-1,0,unknown,0
59,retired,married,824,yes,no,28,81,3,-1,0,unknown,0
48,blue-collar,divorced,-18,yes,no,8,11,1,-1,0,unknown,0
45,blue-collar,married,818,yes,no,30,343,3,-1,0,unknown,0
50,services,divorced,622,yes,no,14,93,3,-1,0,unknown,0
48,technician,married,425,yes,no,4,357,4,-1,0,unknown,0
22,student,single,489,no,no,28,223,5,-1,0,unknown,0
74,retired,married,6027,no,no,14,233,2,-1,0,unknown,0
34,management,married,158,no,no,9,278,2,132,4,failure,1
34,management,married,38,no,no,8,52,11,-1,0,unknown,0
26,admin.,single,-235,yes,no,16,103,1,-1,0,unknown,0
33,admin.,married,258,yes,no,5,37,1,-1,0,unknown,0
53,management,divorced,0,yes,yes,30,75,5,-1,0,unknown,0
39,self-employed,single,759,yes,no,20,100,1,-1,0,unknown,0
49,management,married,1311,yes,no,8,813,1,-1,0,unknown,1
35,blue-collar,single,907,yes,yes,8,242,1,-1,0,unknown,0
47,technician,married,11,no,no,21,184,3,-1,0,unknown,0
44,services,married,3,yes,no,7,228,1,-1,0,unknown,0
45,technician,married,557,yes,no,15,80,4,-1,0,unknown,0
51,management,married,21574,no,no,6,197,3,-1,0,unknown,0
26,technician,single,3070,yes,no,3,409,1,-1,0,unknown,0
54,entrepreneur,married,653,yes,no,15,352,1,-1,0,unknown,0
50,blue-collar,married,-731,yes,no,15,401,4,-1,0,unknown,0
42,management,married,344,yes,yes,4,66,2,-1,0,unknown,0
59,housemaid,divorced,0,no,no,20,379,1,332,2,other,0
52,management,married,798,yes,no,30,123,2,-1,0,unknown,0
40,self-employed,divorced,4647,yes,no,8,330,2,-1,0,unknown,0
53,self-employed,married,730,yes,no,2,18,1,368,2,failure,0
30,management,single,57,yes,no,4,153,2,-1,0,unknown,0
41,management,single,869,no,no,29,524,2,-1,0,unknown,0
59,unknown,married,282,no,no,3,301,2,-1,0,unknown,0
25,blue-collar,single,17,yes,no,13,97,2,-1,0,unknown,0
22,admin.,single,222,no,no,3,156,3,-1,0,unknown,0
64,housemaid,married,768,no,no,14,371,1,-1,0,unknown,1
34,admin.,married,262,yes,no,28,359,3,-1,0,unknown,0
39,entrepreneur,divorced,1202,yes,no,23,364,2,-1,0,unknown,0
77,retired,married,2223,no,no,10,365,2,187,1,success,0
40,management,married,8486,no,no,6,260,3,-1,0,unknown,0
58,retired,married,741,no,no,20,81,2,-1,0,unknown,0
44,management,married,13054,yes,no,11,471,2,174,12,other,0
32,services,married,99,yes,no,13,152,3,-1,0,unknown,0
52,blue-collar,single,-517,no,yes,10,340,1,-1,0,unknown,0
32,services,married,201,yes,no,18,110,2,-1,0,unknown,0
29,admin.,single,260,yes,no,4,453,2,273,2,failure,0
43,self-employed,married,2940,no,no,29,108,1,-1,0,unknown,0
28,management,single,311,yes,no,20,23,13,-1,0,unknown,0
48,blue-collar,divorced,24,yes,no,14,832,1,-1,0,unknown,1
53,technician,divorced,522,yes,no,14,230,1,-1,0,unknown,0
37,admin.,married,36,yes,no,13,428,1,-1,0,unknown,0
49,management,married,4848,no,no,12,113,1,-1,0,unknown,0
